Pe_start,M,K_eff,F,c_function
5,122,1.07379012,-0.0362665,0.0
5,123,1.07379012,-0.0362665,0.0
5,124,1.07379012,-0.0362665,0.0
5,125,1.07379012,-0.0362665,0.0
5,126,1.07379012,-0.0362665,0.0
5,127,1.07379012,-0.0362665,0.0
5,128,1.07379012,-0.0362665,0.0
5,129,1.07379012,-0.0362665,0.0
5,130,1.07379012,-0.0362665,0.0
5,131,1.07379012,-0.0362665,0.0
5,132,1.07379012,-0.0362665,0.0
5,133,1.07379012,-0.0362665,0.0
5,134,1.07379012,-0.0362665,0.0
5,135,1.07379012,-0.0362665,0.0
5,136,1.07379012,-0.0362665,0.0
5,137,1.07379012,-0.0362665,0.0
5,138,1.07379012,-0.0362665,0.0
5,139,1.07379012,-0.0362665,0.0
5,140,1.07379012,-0.0362665,0.0
5,141,1.07379012,-0.0362665,0.0
5,142,1.07379012,-0.0362665,0.0
5,143,1.07379012,-0.0362665,0.0
5,144,1.07379012,-0.0362665,0.0
5,145,1.07379012,-0.0362665,0.0
5,146,1.07379012,-0.0362665,0.0
5,147,1.07379012,-0.0362665,0.0
5,148,1.07379012,-0.0362665,0.0
5,149,1.07379012,-0.0362665,0.0
5,150,1.07379012,-0.0362665,0.0
5,151,1.07379012,-0.0362665,0.0
5,152,1.07379012,-0.0362665,0.0
5,153,1.07379012,-0.0362665,0.0
5,154,1.07379012,-0.0362665,0.0
5,155,1.07379012,-0.0362665,0.0
5,156,1.07379012,-0.0362665,0.0
5,157,1.07379012,-0.0362665,0.0
5,158,1.07379012,-0.0362665,0.0
5,159,1.07379012,-0.0362665,0.0
5,160,1.07379012,-0.0362665,0.0
5,161,1.07379012,-0.0362665,0.0
5,162,1.07379012,-0.0362665,0.0
5,163,1.07379012,-0.0362665,0.0
5,164,1.07379012,-0.0362665,0.0
5,165,1.07379012,-0.0362665,0.0
5,166,1.07379012,-0.0362665,0.0
5,167,1.07379012,-0.0362665,0.0
5,168,1.07379012,-0.0362665,0.0
5,169,1.07379012,-0.0362665,0.0
5,170,1.07379012,-0.0362665,0.0
5,171,1.07379012,-0.0362665,0.0
5,172,1.07379012,-0.0362665,0.0
5,173,1.07379012,-0.0362665,0.0
5,174,1.07379012,-0.0362665,0.0
5,175,1.07379012,-0.0362665,0.0
5,176,1.07379012,-0.0362665,0.0
5,177,1.07379012,-0.0362665,0.0
5,178,1.07379012,-0.0362665,0.0
5,179,1.07379012,-0.0362665,0.0
5,180,1.07379012,-0.0362665,0.0
5,181,1.07379012,-0.0362665,0.0
5,182,1.07379012,-0.0362665,0.0
5,183,1.07379012,-0.0362665,0.0
5,184,1.07379012,-0.0362665,0.0
5,185,1.07379012,-0.0362665,0.0
